Account,Southwest Airlines 2008,Southwest Airlines 2007,Continental Airlines 2008,Continental Airlines 2007,Lufthansa 2008,Lufthansa 2007,Singapore Airlines 2009,Singapore Airlines 2008,Air Canada 2008,Air Canada 2007,WestJet Airlines 2008,WestJet Airlines 2007
Revenue,11023,9861,15241,14232,25048,22539,15996,15973,10228,9879,2550,2151
Operating expenses,9975,8515,15117,13132,23331,21320,13443,12317,9698,8827,2121,1724
Operating income before depreciation and amortization (EBITDA),1048,1346,124,1100,1717,1219,2553,3656,530,1052,429,427
Depreciation & amortization,599,555,438,413,1289,1204,1650,1531,694,557,136,127
Operating income,449,791,-314,687,428,15,903,2125,-164,495,293,300
Interest expense (income),79,25,267,196,172,194,-96,-813,225,149,51,51
Non-operating income (expenses),-92,292,-103,75,538,2190,200,-479,-612,273,13,-10
Income tax,100,413,-99,107,195,356,52,410,24,190,77,46
Net income,178,645,-585,459,599,1655,1147,2049,-1025,429,178,193

Notes:
"Fiscal year end: December 31st for all airlines except Singapore Airlines (March 31st)"
"Exchange rates used:"
"Lufthansa (EUR): 2007=0.684, 2008=0.718"
"Singapore Airlines (SGD): 2007=1.379, 2008=1.52"
"Air Canada & WestJet (CAD): 2007=0.988, 2008=1.224"
"All figures in millions"
"Singapore Airlines year is 2009 (fiscal year ending March 31, 2009) and 2008 (fiscal year ending March 31, 2008)"